Date,RoomAvailable,DeskAvailable,RoomDeskAdjusted,RoomSmoothed,RoomExtraSmoothed,Forecast,Type,CombinedLine,CombinedSmoothedLine
2024-10-21,4792.0,112200.0,4878.445245892578,4892.406930354947,4886.724607884027,,Historical,4886.724607884027,4887.049608829739
2024-10-22,4808.0,112200.0,4894.733877765341,4887.898469747307,4887.005088152245,,Historical,4887.005088152245,4887.89995376989
2024-10-23,4824.0,112200.0,4911.022509638105,4880.481324876673,4887.950410537718,,Historical,4887.950410537718,4889.12575642358
2024-10-24,4788.0,112200.0,4874.373087924388,4879.172416958327,4889.404752669215,,Historical,4889.404752669215,4890.732952881143
2024-10-25,4795.0,112200.0,4881.499364368721,4883.244574926517,4891.5758777083765,,Historical,4891.5758777083765,4892.8476850621455
2024-10-26,4772.0,112200.0,4858.084456051624,4887.025864468409,4894.671548816848,,Historical,4894.671548816848,4895.449176650424
2024-10-27,4770.0,112200.0,4856.048377067529,4883.244574926517,4897.798384399567,,Historical,4897.798384399567,4898.521103397566
2024-10-28,4820.0,112200.0,4906.950351669914,4888.625640813056,4901.527733151047,,Historical,4901.527733151047,4902.1094700036465
2024-10-29,4834.0,112200.0,4921.202904558581,4897.933430454635,4905.2155292702,,Historical,4905.2155292702,4906.116330978178
2024-10-30,4798.0,112200.0,4884.553482844864,4907.095785883064,4909.453897767705,,Historical,4909.453897767705,4910.329471091769
2024-10-31,4825.0,112200.0,4912.040549130153,4920.475733492834,4914.523318911779,,Historical,4914.523318911779,4914.649460831347
2024-11-01,4859.0,112200.0,4946.653891859774,4931.09243105276,4919.623904530099,,Historical,4919.623904530099,4918.978354706424
2024-11-02,4835.0,112200.0,4922.220944050629,4934.146549528902,4924.163529611986,,Historical,4924.163529611986,4923.391837868742
2024-11-03,4862.0,112200.0,4949.708010335918,4948.544536630719,4928.038312576617,,Historical,4928.038312576617,4927.756348285816
2024-11-04,4893.0,112200.0,4981.267234589396,4944.036076023081,4931.829990276589,,Historical,4931.829990276589,4931.853734637921
2024-11-05,4855.0,112200.0,4942.581733891583,4947.235628712372,4936.109911406423,,Historical,4936.109911406423,4935.54004673449
2024-11-06,4897.0,112200.0,4985.3393925575865,4951.4532208937135,4940.005470687218,,Historical,4940.005470687218,4938.781152056111
2024-11-07,4794.0,112200.0,4880.481324876673,4950.5806156148155,4943.20502337651,,Historical,4943.20502337651,4941.764037448263
2024-11-08,4881.0,112200.0,4969.050760684823,4946.7993260729245,4945.428089206084,,Historical,4945.428089206084,4944.389273397872
2024-11-09,4864.0,112200.0,4951.744089320013,4941.272825973237,4946.851266863335,,Historical,4946.851266863335,4946.616791295195
2024-11-10,4856.0,112200.0,4943.599773383631,4936.328062726147,4948.918510321676,,Historical,4948.918510321676,4948.448075162814
2024-11-11,4867.0,112200.0,4954.798207796156,4948.544536630719,4950.206641923859,,Historical,4950.206641923859,4949.976618423469
2024-11-12,4817.0,112200.0,4903.896233193771,4952.471260385761,4951.702536687684,,Historical,4951.702536687684,4951.432444577549
2024-11-13,4863.0,112200.0,4950.726049827965,4951.889523533163,4952.824457760553,,Historical,4952.824457760553,4952.975828064036
2024-11-14,4878.0,112200.0,4965.99664220868,4951.598655106863,4953.904826201093,,Historical,4953.904826201093,4954.539987866686
2024-11-15,4908.0,112200.0,4996.537826970111,4951.016918254265,4955.618872284643,,Historical,4955.618872284643,4956.274810266399
2024-11-16,4860.0,112200.0,4947.6719313518215,4963.087957945687,4957.654951268739,,Historical,4957.654951268739,4958.006664620947
2024-11-17,4854.0,112200.0,4941.563694399536,4966.578379061279,4959.86762894023,,Historical,4959.86762894023,4959.756327246492
